Age,Education_Level,Years_of_Experience,Industry,Job_Role,Company_Size,Job_Level,Routine_Task_Percentage,Creativity_Requirement,Human_Interaction_Level,AI_Adoption_Level,Number_of_AI_Tools_Used,AI_Usage_Hours_Per_Week,Tasks_Automated_Percentage,AI_Training_Hours,Layoff_Risk
59.0,Master's,6.0,Finance,Accountant,Medium,Entry,84.0,21.0,94.0,Medium,5.0,7.0,40.0,26.0,High
44.0,Master's,14.0,Manufacturing,Production Supervisor,Small,Entry,30.0,84.0,68.0,Low,2.0,2.0,14.0,9.0,Low
36.0,Bachelor's,7.0,Retail,Store Manager,Medium,Senior,12.0,86.0,71.0,Low,0.0,1.0,6.0,3.0,Low
27.0,Bachelor's,6.0,Finance,Auditor,Large,Entry,90.0,18.0,21.0,Medium,3.0,10.0,67.0,26.0,High
49.0,High School,12.0,Finance,Auditor,Small,Entry,49.0,52.0,72.0,Medium,5.0,13.0,26.0,19.0,Medium
45.0,PhD,9.0,Telecom,Network Engineer,Large,Entry,72.0,33.0,54.0,Medium,4.0,5.0,69.0,9.0,High
48.0,Bachelor's,10.0,IT,Software Engineer,Small,Entry,46.0,63.0,63.0,Medium,2.0,7.0,45.0,9.0,Medium
23.0,Master's,2.0,Retail,Store Manager,Medium,Mid,36.0,37.0,77.0,Low,2.0,0.0,27.0,3.0,Medium
24.0,Bachelor's,3.0,IT,ML Engineer,Large,Entry,41.0,62.0,90.0,Low,1.0,1.0,20.0,8.0,Low
48.0,Master's,6.0,Retail,Inventory Analyst,Small,Senior,84.0,8.0,81.0,Medium,2.0,5.0,67.0,29.0,Medium
33.0,Bachelor's,0.0,Telecom,Network Engineer,Small,Entry,88.0,15.0,78.0,Medium,2.0,8.0,42.0,21.0,High
32.0,Bachelor's,0.0,Logistics,Dispatcher,Medium,Entry,65.0,36.0,21.0,Medium,5.0,10.0,39.0,27.0,High
53.0,Bachelor's,16.0,Manufacturing,Production Supervisor,Medium,Mid,77.0,33.0,74.0,Medium,4.0,10.0,54.0,28.0,High
54.0,Bachelor's,12.0,Healthcare,Health Analyst,Medium,Entry,82.0,8.0,22.0,Medium,5.0,8.0,68.0,23.0,High
39.0,Master's,5.0,Telecom,Support Specialist,Medium,Mid,10.0,87.0,30.0,Low,2.0,5.0,5.0,9.0,Low
36.0,Master's,7.0,Manufacturing,Production Supervisor,Medium,Mid,11.0,99.0,28.0,Low,0.0,2.0,9.0,2.0,Low
23.0,Master's,2.0,Retail,Sales Associate,Large,Senior,45.0,65.0,57.0,Medium,5.0,13.0,44.0,7.0,Medium
38.0,High School,17.0,Finance,Accountant,Medium,Mid,89.0,10.0,67.0,Medium,5.0,12.0,81.0,12.0,High
37.0,Bachelor's,11.0,Telecom,Network Engineer,Medium,Entry,39.0,42.0,57.0,Low,2.0,2.0,25.0,1.0,Medium
53.0,Bachelor's,11.0,Education,Academic Coordinator,Medium,Entry,70.0,57.0,83.0,Medium,2.0,5.0,67.0,16.0,Medium
49.0,Master's,12.0,Manufacturing,Production Supervisor,Large,Entry,55.0,41.0,72.0,Medium,5.0,9.0,32.0,27.0,Medium
23.0,High School,2.0,Logistics,Dispatcher,Medium,Senior,67.0,39.0,42.0,Low,1.0,2.0,62.0,9.0,High
37.0,Bachelor's,11.0,Finance,Financial Analyst,Medium,Entry,33.0,84.0,32.0,Low,1.0,5.0,20.0,2.0,Medium
48.0,Bachelor's,11.0,Finance,Auditor,Medium,Mid,60.0,63.0,41.0,Low,1.0,1.0,35.0,5.0,Medium
26.0,Bachelor's,5.0,Manufacturing,Operator,Large,Entry,14.0,67.0,87.0,Low,1.0,2.0,7.0,6.0,Low
